asset_hash,name,name_candidates,candidate_count,resolved,types,wads,aset_rows,block_count,example_block
0x01AB4A4D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x02CAD11C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x02F81EDF,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x072FDFFB,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x079BF9A2,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x07A54D8E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x083D0C35,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x084ABF1C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x0921CECE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x09BB1703,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x0CB97EE5,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x0D1577C0,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x0FA9D754,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x10F2FC8F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x11318E9A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x11B6A66D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x14EB1648,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1550FE3B,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x16181291,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x19882C9E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x19E05FEB,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1AC38C71,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1B5B67FF,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1C15DD6C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1CE6C741,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1E09149F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1E54FC57,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1FA4D025,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x1FE868D5,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x22E4921C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x27B1EE81,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x282E9B49,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x2972E259,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x2A31EBF8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x2BA707D5,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x2E9C9685,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x312588D0,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x31776C1F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3266AA18,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x36EBD955,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x39046850,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x39B7C394,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x39ED21E6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3AA03CF8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3B60178D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3C070542,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3C1A8CFA,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3C93742B,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3C96F88B,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x3F7F0573,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x41BE1876,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x43E2EC9E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x44DFE1D6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x4B51C150,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x4D508EB1,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x4F755CC2,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x500FC217,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x50BD6D56,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x54F7EA3D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x5678646A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x57AF9AD6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x57CCD0AD,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x592C0F6E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x5A9164CE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x5F00D8D1,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x600C079A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x6295EE94,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x629972F4,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x6466DCB9,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x64A2BDAD,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x654D865C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x65E560BB,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x65E9DDE9,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x666E333A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x66F1DADF,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x69ACA399,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x69C02B51,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x6BC1916F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x6FF3D556,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x712C158C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x71B12D5F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x71D983AE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x7435D9E0,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x74CBF0C3,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x75A9663A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x75B8F79E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x76FD44B8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x778ADDC9,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x7A776CC6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x7AEE1700,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x7E20CBD1,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x80BDE6BC,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x82E9A66A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x85C3B95B,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x8736C25A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
